arm,sample_id,repo_name,language,file_size_band,file_line_count,findings_total,high,medium,low,checks_failed,failed_check_ids
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00001,crewAIInc/crewAI,python,100_299,244,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00002,Kiln-AI/Kiln,python,100_299,116,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00003,Significant-Gravitas/AutoGPT,python,100_299,294,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00004,Significant-Gravitas/AutoGPT,python,100_299,116,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00005,Significant-Gravitas/AutoGPT,python,100_299,159,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00006,stanford-crfm/haliax,python,100_299,131,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00007,MontrealAI/AGI-Alpha-Agent-v0,python,100_299,102,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00008,julep-ai/julep,python,100_299,151,2,1,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00009,marin-community/marin,python,100_299,163,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00010,microsoft/magentic-ui,python,100_299,267,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00011,crewAIInc/crewAI,python,100_299,103,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00012,browser-use/browser-use,python,300_999,328,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00013,Significant-Gravitas/AutoGPT,python,300_999,541,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00014,DannyMac180/meta-agent,python,300_999,380,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00015,DannyMac180/meta-agent,python,100_299,232,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00016,numbagg/numbagg,python,300_999,545,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00017,crewAIInc/crewAI,python,100_299,105,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00018,skypilot-org/skypilot,python,100_299,158,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00019,static-frame/static-frame,python,300_999,767,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00020,OWASP/mastg,python,100_299,147,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00021,stanford-crfm/levanter,python,100_299,111,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00022,goat-sdk/goat,python,100_299,181,0,0,0,0,0,
